	sampleID	day_of_diet	mouse	day	days_post_cr	B_theta	B_ovatus	B_uniformis	B_caccae	B_intestihominis	E_rectale	C_symbiosum	B_formatexigens	R_intestinalis	F_prausnitzii	E_coli	D_piger	C_aerofaciens	A_muciniphila	C_rodentium
344	28_May_13	FR	13	18	NA	10.1793758043758	22.9930823680824	7.68983268983269	2.85151222651223	1.19449806949807	6.45109395109395	0.888835263835264	10.6539575289575	5.1761583011583	0	3.70817245817246	1.53233590733591	1.98278635778636	24.6983590733591	0
345	28_May_14	FR	14	18	NA	10.5386513157895	20.1356907894737	8.14555921052632	1.99835526315789	1.57483552631579	13.4991776315789	0.884046052631579	11.0197368421053	2.76726973684211	0	5.03289473684211	1.68174342105263	1.73108552631579	20.9909539473684	0
346	29_Jun_01	FF	1	50	NA	5.76342392017855	2.57319154522778	15.7253511881318	20.6485492976237	1.12905343311015	0	2.82525928843377	0.115531048969411	0.15229092818695	1.06078508599186	6.94499146645661	3.15872390705002	0.312458973349088	39.5903899172903	0
347	29_Jun_02	FF	2	50	NA	4.92304030466519	3.48302126309108	13.1228181529673	17.9189146302761	1.76927959377975	0.00396699460488734	4.55410980641066	0.515709298635354	0.638686131386861	1.44398603617899	5.14122500793399	4.81196445572834	1.67010472865757	39.999206601079	0.00396699460488734
348	29_Jun_03	FF	3	50	NA	4.91426181514011	2.55471908545936	10.9229053394674	23.9962358845671	0.951484734420745	0	4.04293879827129	0.655234908685348	0.575073191133417	2.31423393280357	5.29764394256239	5.23839397741531	2.54774850132441	35.9891258887495	0
349	29_Jun_04	FF	4	50	NA	7.41477272727273	2.67400568181818	10.0071022727273	20.1775568181818	1.66193181818182	0	4.46022727272727	0.514914772727273	0.262784090909091	1.64417613636364	4.18678977272727	2.35440340909091	1.08664772727273	43.5546875	0
350	29_Jun_05	FF	5	50	NA	6.55013550135501	4.62059620596206	8.6260162601626	15.7018970189702	3.97018970189702	0	4.92682926829268	0.596205962059621	0.449864498644987	2.04878048780488	4.29539295392954	2.19241192411924	1.35230352303523	44.6693766937669	0
351	29_Jun_06	FF	6	50	NA	7.26289443103602	2.24367569500313	13.8240815231966	20.1171002055958	1.45704835970323	0	2.6012335746849	0.111736837400554	0.263698936265308	0.813444176276035	5.52873871457942	8.21042281219272	0.80450522928399	36.7614195047823	0
352	29_Jun_07	FF	7	50	NA	7.82091471746644	2.07110896766069	8.03258044637355	16.7992926613616	6.60986523055489	0	4.34316641213193	1.18157704364601	0.415293518741795	0	7.55030410202824	9.96972376282721	1.59954987541194	33.6066232617957	0
353	29_Jun_08	FR	8	50	NA	17.6236795314298	28.9404873967158	9.32433845832026	3.15343583307185	1.24463968204163	6.29118293065579	1.44859324338458	1.98723982846983	2.93902311473695	3.35738939441481	5.75253634557055	1.4852002928564	0.256249346302688	16.1960046020291	0
