sampleID	mouse	group_ID	day	diet	day_of_diet	prop.B_theta	prop.B_intestihominis	prop.R_intestinalis	prop.C_aerofaciens	prop.B_caccae	prop.B_formatexigens	prop.D_piger	prop.B_ovatus	prop.F_prausnitzii	prop.A_muciniphila	prop.B_uniformis	prop.C_symbiosum	prop.E_coli	prop.E_rectale
02DEC_18_pl1	18	1_pre_FF	54	1_pre_FF	FF	0.457691989363872	0.659740066286821	0.253065041356852	0.252408590208193	0.719724910768015	0.247945842105023	0.512381365751169	0.16770091711439	0	0.81038867035386	0.789602918440928	0.611429018063279	0.753330801965653	0.0297234594011671
28NOV_18_pl2	18	1_pre_FF	50	1_pre_FF	FF	0.635797515063127	0.548341136168713	0.40739154325074	0.457007592400611	0.827128996867501	0.393874275049603	0.710119914182821	0.274925572850108	0	0.53753461169334	1	0.850515012874397	0.376388111249358	0.0380530089995228
24NOV_18_pl2	18	1_pre_FF	46	1_pre_FF	FF	0.38407605635857	0.449604135801017	0.215556838811704	1	0.889428586752493	0.442374263740835	0.498946028638771	0.130202051082516	0	0.797985303200774	0.611967293863039	0.760870677099013	0.633481358486597	0.016736737357244
30NOV_18_pl2	18	1_pre_FF	52	1_pre_FF	FF	0.684092340553714	0.224495289499896	0.00125105913529067	0.456639147884409	0.946520617625559	0.325399822025576	0.771990138829042	0.199321636447385	0.0137053048675587	0.661057555665412	0.801902573952942	1	0.420858178710785	0.0962326793889474
29NOV_18_pl2	18	1_pre_FF	51	1_pre_FF	pre	0.672871646723613	0.524185999470639	0.320026855400454	0.199116680025742	0.831532798906362	0.274112458281288	0.748129191080325	0.256347004325855	0	0.632735608107573	0.998179541173334	0.466230620964125	0.406873641624651	0.0218987536448871
25NOV_18_pl2	18	1_pre_FF	47	1_pre_FF	pre	0.525693585431689	0.863053468899606	0.226343669526841	0.720445992704485	0.927001998653739	0.247069208293121	0.589759208261923	0.126292749111098	0	0.759191824739007	0.763171703919018	0.503003794965874	0.501121924873012	0.0146252197509742
01DEC_18_pl2	18	1_pre_FF	53	1_pre_FF	pre	0.596084785390592	0.749420766920768	0.299010121232343	0.552083471001564	0.859195291573009	0.313536876130127	0.688025356001162	0.199508599508599	0	0.707695653342521	0.80376407087525	0.45512691398623	0.402257451575395	0.0304220533897954
27NOV_18_pl2	18	1_pre_FF	49	1_pre_FF	pre	0.507539503921093	0.800316737158374	0.509344888839068	0.307908597025662	0.805867400456014	0.329962907004304	1	0.242647237335822	0	0.610395088311	0.832548430663964	0.915589037704988	0.419798167658783	0.0236836905521955
26NOV_18_pl2	18	1_pre_FF	48	1_pre_FF	FF	0.538329819859209	0.423922406917015	0.686804136732705	0.857611448411028	0.98351191850225	0.336750484200228	0.576311403714159	0.152784585799932	0.00548490103091753	0.632779926227137	0.797216012216632	0.592315322831195	0.386109252959032	0.0332465787142605
02NOV_18_pl1	18	1_pre_FF	24	1_pre_FF	FF	0.722189297464746	0.475163609054824	0.00128047587139657	0.200304135788533	0.922283679318693	0.327384478246666	0.531744414387527	0.299069426065713	0	0.698894390979528	0.799610843025618	0.547268369271901	0.43367768284577	0.0738715823985169
01NOV_18_pl1	18	1_pre_FF	23	1_pre_FF	pre	0.427355147432203	0.374703891708968	0	0.685069750412669	0.516344457089328	0.576280080424845	0.151756590797445	0.101338255652976	0	1	0.380811838369383	0.298553878520006	1	0.165569954852745
31OCT_18_pl1	18	1_pre_FF	22	1_pre_FF	FF	0.850209254720717	0.55657764440356	0.561206831872715	0.431156171017812	0.9657777574374	0.294616595568799	0.817850943205317	0.143715136069576	0	0.665975555243267	0.678505826691274	0.351971916339374	0.286103191913691	0.0145438787792279
30OCT_18_pl1	18	1_pre_FF	21	1_pre_FF	pre	0.36998857837902	0.20970643939394	1	0.700543407794325	0.88959546085761	0.372748970611982	0.70776629704301	0.0727272727272728	0	0.65027923662993	0.62743155276949	0.729326175250606	0.837041718337631	0.025194572452637
03NOV_18_pl1	18	1_pre_FF	25	1_pre_FF	pre	0.645358861829411	0.610643871501449	0.38945144878322	0.308743334264854	0.791514689195427	0.320105308295287	0.549897233847618	0.162440620182244	0	0.842902524440098	0.651430516566178	0.602632239760235	0.32946818402314	0.0172828744205216
26NOV_19_pl2	19	1_pre_FF	48	1_pre_FF	FF	0.588534941072233	0.640922106828386	0	1	0.829418252938374	0.888804657875983	0.353340079928354	0.105255007250228	0	0.737521963079254	0.766907045073281	0.0149434765499231	0.545360915973619	0.18438622502587
25NOV_19_pl2	19	1_pre_FF	47	1_pre_FF	pre	0.512461541337257	0.576485471047107	0.000399053008460698	0.558693536904597	0.884393311724433	0.310981872046921	0.603840223348171	0.172120450584439	0.00116619038836186	0.676227652521998	0.986460704029355	0.672657358221799	0.666932190850456	0.108801819881716
24NOV_19_pl2	19	1_pre_FF	46	1_pre_FF	FF	0.484719644453232	0.392958243893173	0.00213239600794484	0.637816561488917	0.850937274231908	0.417218580303489	0.769356794248342	0.116713089831826	0	0.917730162653657	0.613720648418844	0.840910561370124	0.530927938304374	0.073186683529567
23NOV_19_pl2	19	1_pre_FF	45	1_pre_FF	pre	0.306405088617984	0.392160510637096	0.0562383656825673	0.534852905374557	0.733915174051472	0.329406513271472	0.452381080852998	0.130735975975923	0	0.951544920713121	0.931078771743167	0.637909471114401	0.69395034722259	0.0126957171413029
04NOV_19_pl1	19	1_pre_FF	26	1_pre_FF	FF	0.916487765346687	0.34872645512191	0.000715336164810094	0.270080645373522	0.987998588485479	0.168320817039798	1	0.245177330261659	0	0.702112994752692	0.641845162903266	0.832711990637301	0.34937694006268	0.0755654185550194
01NOV_19_pl1	19	1_pre_FF	23	1_pre_FF	pre	0.530140679538379	0.743765718028799	0.00488385807243346	0.466365643100985	0.82446421621912	0.420013663290921	0.408519532751076	0.254503813368367	0	0.79361876242143	0.621007374400426	0.955522397094431	0.764928210356402	0.111475137589387
31OCT_19_pl1	19	1_pre_FF	22	1_pre_FF	FF	0.824461926520148	0.37076635475	0.00152909816080283	0.323480432771783	0.879697180705696	0.253365069650087	0.699905524603026	0.242587252995124	0	0.676443546371012	0.7291222584358	1	0.551669998284318	0.112367423480219
20NOV_19_pl2	19	1_pre_FF	42	1_pre_FF	FF	0.519700555087473	0.550881514562849	0.510755952605299	0.624357974831694	0.777045299413682	0.348948445814504	0.664513097782153	0.1365303244518	0.618216354653425	0.86307653189236	0.624235198807534	0.694845338907982	0.484430702593568	0.0145222497270538
02NOV_19_pl1	19	1_pre_FF	24	1_pre_FF	FF	0.649662337662337	0.822563714663198	0.479484066767829	0.240851479451448	0.69985206049156	0.328794489092996	0.505519266834153	0.139548612711814	0	1	0.570752807668171	0.319448016701461	0.534029960077649	0.0220361922271765
22NOV_19_pl2	19	1_pre_FF	44	1_pre_FF	FF	0.450107245497005	0.668851821612384	0.134886723188048	0.896730995251976	1	0.364238526156242	0.56739547758924	0.250380311144485	0	0.855723530752287	0.52393488415438	0.640808396379356	0.456588902003727	0.0718694554432144
21NOV_19_pl2	19	1_pre_FF	43	1_pre_FF	pre	0.409201776654439	0.323716288804155	0	0.615930338787961	0.8141413017601	0.655787361978874	0.61236293965484	0.189823489361396	0	0.813176483820776	0.758259489917628	0.80049313069476	0.637111045338291	0.0431641778452712
03NOV_19_pl1	19	1_pre_FF	25	1_pre_FF	pre	0.601226197409369	0.447524740001638	0.479510931641079	0.279987106950807	0.932972565785251	0.258400375589812	0.423655349091185	0.125730251988576	0	0.97961313365132	0.690793715049167	0.46240915017858	0.261992216211486	0.00604775037482023
30OCT_19_pl1	19	1_pre_FF	21	1_pre_FF	pre	0.508902781198597	0.255127987326264	0.0115335941136854	0.854728459390225	0.848964724739391	0.540063229512912	0.520329717206731	0.193989849324215	0	0.846909193786319	0.5729552210103	0.4902782807586	0.60579985654597	0.193697097954257
15OCT_19_pl1	19	1_pre_FF	6	1_pre_FF	FR	0.757699139835463	1	0.0473182110848763	0.339233159096149	0.267274312941733	0.507658670112465	0.293539078348419	0.964637310559595	0.934789620706655	0.441059088098569	0.180179049290594	0.210427194031951	1	0.746023815929952
02DEC_19_pl1	19	1_pre_FF	54	1_pre_FF	FF	0.506934895511961	0.644893950369171	0	0.259833506625607	0.801682196996408	0.368134117869096	0.500702668054052	0.151272346593654	0	0.893873860673391	0.64675041566762	0.795505985934396	0.740684386652465	0.155231027014121
26OCT_19_pl1	19	1_pre_FF	17	1_pre_FF	pre	0.468867579185662	0.774755538293947	0.0016232362658257	0.391089127493419	0.851081729252855	0.335283084817343	0.653835451636399	0.328340558440352	0.00474373702518464	0.740178802197517	0.68911882791113	0.313161516175761	0.699056308080682	0.260258756530015
17OCT_19_pl1	19	1_pre_FF	8	1_pre_FF	FR	1	0.427974811518425	1	0.421334039395815	0.309186201360615	1	0.328492734493937	0.775130753831618	1	0.381048831959447	0.143935644166485	0.15133837386447	0.239652409249157	0.725775106274604
28OCT_19_pl1	19	1_pre_FF	19	1_pre_FF	pre	0.502160821867879	0.636294923998274	0	0.443131691042368	0.857817041394919	0.261564932764145	0.689773676187271	0.243547509734654	0	0.731268685600459	0.824828051962631	0.340032264672744	0.576461254539608	0.283516178421736
27OCT_19_plr	19	1_pre_FF	18	1_pre_FF	FF	0.460453449461308	0.354833968204165	0.000933034223293099	0.656916019630284	0.936313134409632	0.240723900831461	0.542884540874388	0.287643261760047	0.00136334712450145	0.744544275288468	0.743653013408325	0.465266791562587	0.547841163065868	0.300653733342927
22OCT_19_pl1	19	1_pre_FF	13	1_pre_FF	FR	0.752139779350872	0.474611065670031	0.475716970422502	0.324339253694362	0.19444812310147	0.905289083908205	0.218667219805169	0.689517322411659	0.712398270152436	0.37715356807072	0.308818677870026	0.139655509406303	0.872803374181854	1
29OCT_19_pl1	19	1_pre_FF	20	1_pre_FF	FF	0.5720234014055	0.533297117910832	0	0.231564322673761	0.941538198105451	0.225573909364859	0.664566253327911	0.184964605993547	0	0.826641495573073	0.671596783750659	0.898977737392094	0.587198801182877	0.140299739051148
25OCT_19_pl1	19	1_pre_FF	16	1_pre_FF	FF	0.849527404544708	0.304509413882063	0.00238610402379561	0.299713044484218	0.209030343148319	0.918913041108823	0.28268136766172	1	0	0.437261604960347	0.26711080755339	0.241872061041612	0.484872682104518	0.91807276014205
24OCT_19_pl1	19	1_pre_FF	15	1_pre_FF	pre	0.662572831707022	0.885545974751483	0.176461397836341	0.294323662360256	0.367194106795006	0.667554886189144	0.334371348885576	0.751842612896247	0	0.63616166057987	0.359408321282217	0.152929699062654	0.502326487160182	0.669202257859094
29NOV_19_pl2	19	1_pre_FF	51	1_pre_FF	pre	0.640508338204938	0.503716806370339	0.000756144135074656	0.437118796645281	0.847287047890015	0.348122769668358	0.717456578294061	0.23204802124466	0	0.704952566649885	0.807949738185259	0.624928585486547	0.597901464939659	0.131969405063794
28NOV_19_pl2	19	1_pre_FF	50	1_pre_FF	FF	0.647177257060453	0.496381802211842	0	0.386431957367318	0.777696124527785	0.497372935529477	0.437248269490745	0.227196433211921	0	0.782582463391104	0.815480547433561	0.610287423353771	0.497469972919504	0.119932032756514
01DEC_19_pl2	19	1_pre_FF	53	1_pre_FF	pre	0.59575961410829	0.660075650583332	0.000524572412658974	0.46624155584001	0.891649062436932	0.295684786288159	0.84970546028225	0.179794158315466	0	0.754759651119497	0.748963589873744	0.919400795818054	0.454438595122434	0.112360897997162
30NOV_19_pl2	19	1_pre_FF	52	1_pre_FF	FF	0.622501228557426	0.533951333472044	0.507389159569451	0.369011560618424	0.858907126782354	0.287239857139067	0.715727794177667	0.253921699065716	0	0.59181539127892	1	0.700488071729731	0.454901129110336	0.0311635912101618
27NOV_19_pl2	19	1_pre_FF	49	1_pre_FF	pre	0.454706969421001	0.474697614662884	0.000302905620843379	0.291918305332416	0.893361869213975	0.438648375563602	0.616572658198552	0.181808653295369	0	0.840928000495095	0.783986745904551	0.478397720361318	0.58226502439732	0.139247382549004
24OCT_20_pl1	20	1_pre_FF	15	1_pre_FF	pre	0.684038411625158	0.727748498363731	0.440022215074035	0.239186119951274	0.41373179900365	0.610987327562981	0.314252452281658	0.783095697961234	0	0.307516843729617	0.479428173523399	0.0149064576735116	0.524245753741539	0.4975115938255
22OCT_20_pl1	20	1_pre_FF	13	1_pre_FF	FR	0.714623629678744	0.242648622752322	0.384607744390475	0.228455517264541	0.137636753828593	1	0.353956788989926	0.871936297920202	1	0.218291898633251	0.309213041457961	0.0696338552077718	0.729129718754508	0.909371976418415
17OCT_20_pl1	20	1_pre_FF	8	1_pre_FF	FR	1	0.428706480713046	0.000948399770384629	0.180309509653902	0.223387179493961	0.743046988756025	0.483104727253082	1	0.0693608382462405	0.221050957154318	0.205827199635726	0.190646067845172	0.459368137353908	1
15OCT_20_pl1	20	1_pre_FF	6	1_pre_FF	FR	0.875746585393787	0.360352359268109	0	0.141493780554349	0.202300043643306	0.824857718510362	0.425077528844448	0.827702963670597	0	0.238026280294994	0.182886812564031	0.106478755727081	1	0.994147986584216
27OCT_20_plr	20	1_pre_FF	18	1_pre_FF	FF	0.265022510420285	0.466076971723465	0.918515207997444	0.550009784400543	0.909701158019777	0.151308545239765	0.734509903950863	0.191256550384999	0	0.379883816876461	0.718374475308682	0.418632949953612	0.701091309029046	0.0626554722719695
26OCT_20_pl1	20	1_pre_FF	17	1_pre_FF	pre	0.494492076617272	1	0.57720243494249	0.428085766182815	0.79361425731517	0.14750455956779	0.544707981920562	0.185670772708858	0	0.438110482731708	0.657054085329929	0.108644318772384	0.590023081594996	0.0583138987168741
25OCT_20_pl1	20	1_pre_FF	16	1_pre_FF	FF	0.603755084923313	0.795718253692956	0.844951827558739	0.24640602047831	0.794441844167393	0.233003508147891	0.439028005730031	0.232884131274928	0.00390121302293669	0.38372434960011	0.517194069228058	0.0751203650846111	0.754312354312354	0.226196295512732
28OCT_20_pl1	20	1_pre_FF	19	1_pre_FF	pre	0.520609595670411	0.697613806921324	0.801816823333459	0.275138249123891	0.849836729944239	0.230560394078824	0.754541358197876	0.158805295188637	0	0.391624719926288	0.663823607153209	0.319344862164362	0.603052406731312	0.0569880703730311
26NOV_20_pl2	20	1_pre_FF	48	1_pre_FF	FF	0.395851837518005	0.381915051829596	1	0.495146031451764	1	0.333598836068846	0.777580162332039	0.180703185202593	0	0.259359568331381	1	0.516801368176116	0.594183510133801	0.0290570764434893
25NOV_20_pl2	20	1_pre_FF	47	1_pre_FF	pre	0.496161927985776	0.709855662118449	0.411159936863525	0.60479394027067	0.733264112036813	0.309836953178741	0.912863793058983	0.170945697671578	0	0.363487091375117	0.829490515275591	0.455931265609602	0.576404799788963	0.0260512963704926
24NOV_20_pl2	20	1_pre_FF	46	1_pre_FF	FF	0.433104840800389	0.371080803238189	0.293046842652259	0.672345201920996	0.620230862524863	0.650515512234193	0.428097972542335	0.0845962106176184	0	0.525017005615572	0.491477817696268	0.493367737582771	0.440766509453977	0.0185187881219571
