sampleID	day_of_diet	mouse	day	days_post_cr
04_Jun_12	FR	12	25	NA
04_Jun_13	FR	13	25	NA
04_Jun_14	FR	14	25	NA
05_Jun_01	FF	1	26	NA
05_Jun_02	FF	2	26	NA
05_Jun_03	FF	3	26	NA
05_Jun_04	FF	4	26	NA
05_Jun_05	FF	5	26	NA
05_Jun_06	FF	6	26	NA
05_Jun_07	FF	7	26	NA
05_Jun_08	FR	8	26	NA
05_Jun_09	FR	9	26	NA
05_Jun_10	FR	10	26	NA
05_Jun_11	FR	11	26	NA
05_Jun_12	FR	12	26	NA
05_Jun_13	FR	13	26	NA
05_Jun_14	FR	14	26	NA
21_Jun_01	FF	1	42	NA
21_Jun_02	FF	2	42	NA
21_Jun_03	FF	3	42	NA
21_Jun_04	FF	4	42	NA
21_Jun_05	FF	5	42	NA
21_Jun_06	FF	6	42	NA
21_Jun_07	FF	7	42	NA
21_Jun_08	FR	8	42	NA
21_Jun_09	FR	9	42	NA
21_Jun_10	FR	10	42	NA
21_Jun_11	FR	11	42	NA
21_Jun_12	FR	12	42	NA
21_Jun_13	FR	13	42	NA
21_Jun_14	FR	14	42	NA
22_Jun_01	FF	1	43	NA
22_Jun_02	FF	2	43	NA
22_Jun_03	FF	3	43	NA
22_Jun_04	FF	4	43	NA
22_Jun_05	FF	5	43	NA
22_Jun_06	FF	6	43	NA
22_Jun_07	FF	7	43	NA
22_Jun_08	FR	8	43	NA
22_Jun_09	FR	9	43	NA
22_Jun_10	FR	10	43	NA
22_Jun_11	FR	11	43	NA
22_Jun_12	FR	12	43	NA
22_Jun_13	FR	13	43	NA
22_Jun_14	FR	14	43	NA
23_Jun_01	FF	1	44	NA
23_Jun_02	FF	2	44	NA
23_Jun_03	FF	3	44	NA
23_Jun_04	FF	4	44	NA
23_Jun_05	FF	5	44	NA
23_Jun_06	FF	6	44	NA
23_Jun_07	FF	7	44	NA
23_Jun_08	FR	8	44	NA
23_Jun_09	FR	9	44	NA
23_Jun_10	FR	10	44	NA
23_Jun_11	FR	11	44	NA
23_Jun_12	FR	12	44	NA
23_Jun_13	FR	13	44	NA
23_Jun_14	FR	14	44	NA
24_Jun_01	FF	1	45	NA
24_Jun_02	FF	2	45	NA
24_Jun_03	FF	3	45	NA
24_Jun_04	FF	4	45	NA
24_Jun_05	FF	5	45	NA
24_Jun_06	FF	6	45	NA
24_Jun_07	FF	7	45	NA
24_Jun_08	FR	8	45	NA
24_Jun_09	FR	9	45	NA
24_Jun_10	FR	10	45	NA
24_Jun_11	FR	11	45	NA
24_Jun_12	FR	12	45	NA
24_Jun_13	FR	13	45	NA
24_Jun_14	FR	14	45	NA
25_Jun_01	FF	1	46	NA
25_Jun_02	FF	2	46	NA
25_Jun_03	FF	3	46	NA
25_Jun_04	FF	4	46	NA
25_Jun_05	FF	5	46	NA
25_Jun_06	FF	6	46	NA
25_Jun_07	FF	7	46	NA
25_Jun_08	FR	8	46	NA
25_Jun_09	FR	9	46	NA
25_Jun_10	FR	10	46	NA
25_Jun_11	FR	11	46	NA
25_Jun_12	FR	12	46	NA
25_Jun_13	FR	13	46	NA
25_Jun_14	FR	14	46	NA
26_Jun_01	FF	1	47	NA
26_Jun_02	FF	2	47	NA
26_Jun_03	FF	3	47	NA
26_Jun_04	FF	4	47	NA
26_Jun_05	FF	5	47	NA
26_Jun_07	FF	7	47	NA
26_Jun_08	FR	8	47	NA
26_Jun_09	FR	9	47	NA
26_Jun_10	FR	10	47	NA
26_Jun_11	FR	11	47	NA
26_Jun_12	FR	12	47	NA
26_Jun_13	FR	13	47	NA
26_Jun_14	FR	14	47	NA
28_Jun_01	FF	1	49	NA
28_Jun_02	FF	2	49	NA
28_Jun_03	FF	3	49	NA
28_Jun_04	FF	4	49	NA
28_Jun_05	FF	5	49	NA
28_Jun_06	FF	6	49	NA
28_Jun_07	FF	7	49	NA
28_Jun_08	FR	8	49	NA
28_Jun_09	FR	9	49	NA
28_Jun_10	FR	10	49	NA
28_Jun_11	FR	11	49	NA
28_Jun_12	FR	12	49	NA
28_Jun_13	FR	13	49	NA
28_Jun_14	FR	14	49	NA
29_Jun_01	FF	1	50	NA
29_Jun_02	FF	2	50	NA
29_Jun_03	FF	3	50	NA
29_Jun_04	FF	4	50	NA
29_Jun_05	FF	5	50	NA
29_Jun_06	FF	6	50	NA
29_Jun_07	FF	7	50	NA
29_Jun_08	FR	8	50	NA
29_Jun_09	FR	9	50	NA
29_Jun_10	FR	10	50	NA
29_Jun_11	FR	11	50	NA
29_Jun_12	FR	12	50	NA
29_Jun_13	FR	13	50	NA
29_Jun_14	FR	14	50	NA
30_Jun_02	FF	2	51	NA
30_Jun_04	FF	4	51	NA
30_Jun_05	FF	5	51	NA
30_Jun_06	FF	6	51	NA
30_Jun_07	FF	7	51	NA
30_Jun_10	FR	10	51	NA
30_Jun_11	FR	11	51	NA
30_Jun_12	FR	12	51	NA
30_Jun_13	FR	13	51	NA
30_Jun_14	FR	14	51	NA
1_Jul_02	FF	2	52	NA
1_Jul_04	FF	4	52	NA
1_Jul_05	FF	5	52	NA
1_Jul_06	FF	6	52	NA
1_Jul_07	FF	7	52	NA
1_Jul_10	FR	10	52	NA
1_Jul_11	FR	11	52	NA
1_Jul_12	FR	12	52	NA
1_Jul_13	FR	13	52	NA
1_Jul_14	FR	14	52	NA
2_Jul_02	FF	2	53	-4
2_Jul_04	FF	4	53	-4
2_Jul_05	FF	5	53	-4
2_Jul_06	FF	6	53	-4
2_Jul_07	FF	7	53	-4
2_Jul_10	FR	10	53	-4
2_Jul_11	FR	11	53	-4
2_Jul_12	FR	12	53	-4
2_Jul_13	FR	13	53	-4
2_Jul_14	FR	14	53	-4
3_Jul_02	FF	2	54	-3
3_Jul_04	FF	4	54	-3
3_Jul_05	FF	5	54	-3
3_Jul_06	FF	6	54	-3
3_Jul_07	FF	7	54	-3
3_Jul_10	FR	10	54	-3
3_Jul_11	FR	11	54	-3
3_Jul_12	FR	12	54	-3
3_Jul_13	FR	13	54	-3
3_Jul_14	FR	14	54	-3
6_Jul_02	FF	2	57	0
6_Jul_04	FF	4	57	0
6_Jul_05	FF	5	57	0
6_Jul_06	FF	6	57	0
6_Jul_07	FF	7	57	0
6_Jul_10	FR	10	57	0
6_Jul_11	FR	11	57	0
6_Jul_12	FR	12	57	0
6_Jul_13	FR	13	57	0
6_Jul_14	FR	14	57	0
7_Jul_02	FF	2	58	1
7_Jul_06	FF	6	58	1
7_Jul_07	FF	7	58	1
7_Jul_10	FR	10	58	1
7_Jul_11	FR	11	58	1
7_Jul_12	FR	12	58	1
7_Jul_13	FR	13	58	1
7_Jul_14	FR	14	58	1
8_Jul_02	FF	2	59	2
8_Jul_06	FF	6	59	2
8_Jul_07	FF	7	59	2
8_Jul_10	FR	10	59	2
8_Jul_11	FR	11	59	2
8_Jul_12	FR	12	59	2
8_Jul_13	FR	13	59	2
8_Jul_14	FR	14	59	2
9_Jul_02	FF	2	60	3
9_Jul_04	FF	4	60	3
9_Jul_05	FF	5	60	3
9_Jul_06	FF	6	60	3
9_Jul_07	FF	7	60	3
9_Jul_10	FR	10	60	3
9_Jul_11	FR	11	60	3
9_Jul_12	FR	12	60	3
9_Jul_13	FR	13	60	3
9_Jul_14	FR	14	60	3
10_Jul_02	FF	2	61	4
10_Jul_04	FF	4	61	4
10_Jul_05	FF	5	61	4
10_Jul_06	FF	6	61	4
10_Jul_07	FF	7	61	4
10_Jul_10	FR	10	61	4
10_Jul_11	FR	11	61	4
10_Jul_12	FR	12	61	4
10_Jul_13	FR	13	61	4
10_Jul_14	FR	14	61	4
11_Jul_02	FF	2	62	5
11_Jul_04	FF	4	62	5
11_Jul_05	FF	5	62	5
11_Jul_06	FF	6	62	5
11_Jul_07	FF	7	62	5
11_Jul_10	FR	10	62	5
11_Jul_11	FR	11	62	5
11_Jul_12	FR	12	62	5
11_Jul_13	FR	13	62	5
11_Jul_14	FR	14	62	5
12_Jul_02	FF	2	63	6
12_Jul_05	FF	5	63	6
12_Jul_06	FF	6	63	6
12_Jul_07	FF	7	63	6
12_Jul_11	FR	11	63	6
12_Jul_12	FR	12	63	6
12_Jul_13	FR	13	63	6
12_Jul_14	FR	14	63	6
13_Jul_02	FF	2	64	7
13_Jul_04	FF	4	64	7
13_Jul_05	FF	5	64	7
13_Jul_07	FF	7	64	7
13_Jul_10	FR	10	64	7
13_Jul_11	FR	11	64	7
13_Jul_12	FR	12	64	7
13_Jul_13	FR	13	64	7
13_Jul_14	FR	14	64	7
14_Jul_02	FF	2	65	8
14_Jul_05	FF	5	65	8
14_Jul_06	FF	6	65	8
14_Jul_07	FF	7	65	8
14_Jul_10	FR	10	65	8
14_Jul_11	FR	11	65	8
14_Jul_12	FR	12	65	8
14_Jul_13	FR	13	65	8
14_Jul_14	FR	14	65	8
15_Jul_02	FF	2	66	9
15_Jul_04	FF	4	66	9
15_Jul_05	FF	5	66	9
15_Jul_06	FF	6	66	9
15_Jul_07	FF	7	66	9
15_Jul_10	FR	10	66	9
15_Jul_11	FR	11	66	9
15_Jul_12	FR	12	66	9
15_Jul_13	FR	13	66	9
15_Jul_14	FR	14	66	9
16_Jul_04	FF	4	67	10
16_Jul_06	FF	6	67	10
16_Jul_07	FF	7	67	10
16_Jul_11	FR	11	67	10
16_Jul_12	FR	12	67	10
16_Jul_13	FR	13	67	10
16_Jul_14	FR	14	67	10
