sampleID	plate	sampleID2	mouse	group_ID	group_sort	day	diet	day_of_diet
03NOV_10_pl1	1	03NOV10_pl1	10	pre	3	25	pre	pre
03NOV_11_pl1	1	03NOV11_pl1	11	pre	3	25	pre	pre
03NOV_12_pl1	1	03NOV12_pl1	12	1_FR_FF	4	25	1_FR_FF	FR
03NOV_13_pl1	1	03NOV13_pl1	13	1_FR_FF	4	25	1_FR_FF	FR
03NOV_14_pl1	1	03NOV14_pl1	14	1_FR_FF	4	25	1_FR_FF	FR
03NOV_15_pl2	2	03NOV_15	15	4_FR_FF	5	25	4_FR_FF	FR
03NOV_16_pl1	1	03NOV16_pl1	16	4_FR_FF	5	25	4_FR_FF	FR
03NOV_17_pl1	1	03NOV17_pl1	17	4_FR_FF	5	25	4_FR_FF	FR
03NOV_18_pl1	1	03NOV18_pl1	18	1_pre_FF	6	25	1_pre_FF	pre
03NOV_19_pl1	1	03NOV19_pl1	19	1_pre_FF	6	25	1_pre_FF	pre
03NOV_20_pl1	1	03NOV20_pl1	20	1_pre_FF	6	25	1_pre_FF	pre
03NOV_21_pl1	1	03NOV21_pl1	21	4_pre_FF	7	25	4_pre_FF	pre
03NOV_22_pl1	1	03NOV22_pl1	22	4_pre_FF	7	25	4_pre_FF	pre
03NOV_23_pl1	1	03NOV23_pl1	23	4_pre_FF	7	25	4_pre_FF	pre
04NOV_01_pl1	1	04NOV01_pl1	1	FF	1	26	FF	FF
04NOV_02_pl1	1	04NOV02_pl1	2	FF	1	26	FF	FF
04NOV_03_pl1	1	04NOV03_pl1	3	FF	1	26	FF	FF
04NOV_04_pl1	1	04NOV04_pl1	4	FF	1	26	FF	FF
04NOV_05_pl1	1	04NOV05_pl1	5	FR	2	26	FR	FR
04NOV_06_pl1	1	04NOV06_pl1	6	FR	2	26	FR	FR
04NOV_07_pl1	1	04NOV07_pl1	7	FR	2	26	FR	FR
04NOV_08_pl1	1	04NOV08_pl1	8	FR	2	26	FR	FR
04NOV_09_pl1	1	04NOV09_pl1	9	pre	3	26	pre	pre
04NOV_10_pl1	1	04NOV10_pl1	10	pre	3	26	pre	pre
04NOV_11_pl1	1	04NOV11_pl1	11	pre	3	26	pre	pre
04NOV_12_pl1	1	04NOV12_pl1	12	1_FR_FF	4	26	1_FR_FF	FF
04NOV_13_pl1	1	04NOV13_pl1	13	1_FR_FF	4	26	1_FR_FF	FF
04NOV_14_pl1	1	04NOV14_pl1	14	1_FR_FF	4	26	1_FR_FF	FF
04NOV_15_pl1	1	04NOV15_pl1	15	4_FR_FF	5	26	4_FR_FF	FR
04NOV_16_pl1	1	04NOV16_pl1	16	4_FR_FF	5	26	4_FR_FF	FR
04NOV_17_pl1	1	04NOV17_pl1	17	4_FR_FF	5	26	4_FR_FF	FR
04NOV_18_pl1	1	04NOV18_pl1	18	1_pre_FF	6	26	1_pre_FF	FF
04NOV_19_pl1	1	04NOV19_pl1	19	1_pre_FF	6	26	1_pre_FF	FF
