	sampleID	mouse	day_of_diet	day	experiment	cage	sex	B_theta	B_ovatus	B_uniformis	B_caccae	B_intestihominis	E_rectale	C_symbiosum	B_formatexigens	R_intestinalis	F_prausnitzii	E_coli	D_piger	C_aerofaciens	A_muciniphila	cagegroup
109	05_Jun_06	6	FF	26	exp2	c6	male	3.99119589141599	2.65590608950844	15.509904622157	15.8229395940328	1.4135485448765	0	4.47542186353632	0.386402543409146	0.733675715333822	1.74125703105894	4.6074834922964	5.53680606505258	1.21301051601859	41.9124480313035	FF_c6
110	05_Jun_07	7	FF	26	exp2	c6	male	4.79808076769292	1.04624816739971	8.75316540050646	19.9520191923231	0.852992136478742	0.00999600159936026	3.47194455551113	0.673064107690257	1.80261228841797	2.70891643342663	4.43156070904971	7.1004931360789	5.93762495001999	38.457950153272	FF_c6
111	05_Jun_08	8	FR	26	exp2	c7	male	13.6843232820952	17.3156231589095	8.59086283541321	2.7475764554657	1.23185689036474	11.2473889989824	0.674843339938943	6.10036955706711	6.64667130844625	1.75673504365058	5.21129023619517	2.58689946976595	1.38717797654116	20.8076696481174	FR_c7
112	05_Jun_09	9	FR	26	exp2	c8	male	12.4465911201932	17.4128429004892	7.82091770388259	2.52027989349186	0.922657749705864	21.9394389745495	0.687349061861416	5.78363985386092	1.38089045761347	2.79274258468017	4.8238281008112	1.70289181992693	1.61000681156728	18.1559229673664	FR_c8
113	05_Jun_10	10	FR	26	exp2	c9	male	12.4403067869374	21.1277796536588	8.8370073802518	2.88456900294245	1.0081520428344	15.1994597462737	0.530606338333896	7.70826298779605	0	3.12093000820028	4.92499155853553	2.05971733153249	1.57252423906227	18.5856929236409	FR_c9
114	05_Jun_11	11	FR	26	exp2	c10	male	10.4218472468917	20.8658969804618	9.80017761989343	3.08170515097691	1.31438721136767	11.9271758436945	0.586145648312611	4.9955595026643	3.39253996447602	2.87300177619893	5.86589698046181	1.81616341030195	2.46003552397869	20.5994671403197	FR_c10
115	05_Jun_12	12	FR	26	exp2	c10	male	13.9943687695	20.850772391751	11.7875351951906	3.42439692565254	1.3925880830987	6.47591507495624	1.27083174796439	4.38322806483525	6.71181797427897	0	5.07571722091165	3.3330796743018	0.669659843238719	20.6300890343201	FR_c10
116	05_Jun_13	13	FR	26	exp2	c10	male	13.0853594847096	17.7392212615331	11.5998375210352	3.34822723843788	1.32884581906807	13.2768525503395	1.6015783670864	5.25155225439564	5.75639760923809	0	5.26896071490745	2.75633958103638	1.25921197702083	17.7276156211919	FR_c10
117	05_Jun_14	14	FR	26	exp2	c11	male	13.1556871453245	19.8174191956575	12.0898100172712	2.74364668147052	1.17937330372564	12.4154946952874	0.562546262028127	7.55983222304466	2.58573895879595	0.0246730816679003	5.03824327658525	2.10708117443869	1.27313101406366	19.4423883543055	FR_c11
118	1_Jul_02	2	FF	52	exp2	c5	male	5.42388523008515	3.1796635764923	13.2681740005873	15.7221359956374	1.74084483409539	0	3.86341708964302	0.562104115105499	0.532740467301481	1.84571500482403	4.9121187969294	6.2208985276228	2.43718276773355	40.2911195939427	FF_c5
119	1_Jul_04	4	FF	52	exp2	c6	male	8.61610001010884	3.9727735283216	11.2949422111399	15.1228223877077	4.02668733362537	0	4.47484584021296	1.23664790915524	0.276308252181824	1.91057047545237	3.9727735283216	1.95774505509317	1.29056171445901	41.8472217542204	FF_c6
120	1_Jul_05	5	FF	52	exp2	c6	male	4.90342352514214	7.43578370095568	8.5205048590669	21.3395701439574	1.87507560788741	0	5.46392999717731	0.838743497721682	0.794386870438324	1.05649421347635	4.8792290011694	3.39126577684584	2.56865196177265	36.9329408443889	FF_c6
121	1_Jul_06	6	FF	52	exp2	c6	male	6.2871643373859	3.01480892322842	14.0362837556338	18.8160436314055	1.46574252925804	0	4.16240578722115	0.715827746846949	0.382532287997576	1.67026474264288	5.54861190016286	6.73408324811574	1.93538613036397	35.2308449797371	FF_c6
122	1_Jul_07	7	FF	52	exp2	c6	male	4.02995147347109	1.13121444869364	7.58106501269403	27.6697625092393	3.54468618440081	0	1.85429186618247	0.0610598708101681	0.0771282578654755	0	6.66838062795257	6.47234630587782	0.289230966995533	40.6208824758171	FF_c6
123	1_Jul_10	10	FR	52	exp2	c9	male	17.7812745869394	32.3918174665618	7.55704169944925	3.96144767899292	1.79779701022817	0.0826121164437451	0.660896931549961	3.30055074744296	0	3.00944138473643	6.45161290322581	2.39968528717545	0.29897718332022	20.3068450039339	FR_c9
124	1_Jul_11	11	FR	52	exp2	c10	male	15.271838729383	22.52596212584	8.76603543066585	3.18417837507636	0.488698839340257	14.9816737935247	0.725412339645693	6.69670128283445	4.55100794135614	0	3.37507635919365	0.771227855833842	0.366524129505192	18.2956627978009	FR_c10
125	1_Jul_12	12	FR	52	exp2	c10	male	16.8354910351552	24.1265370239965	11.1207410216131	4.90764313959157	1.0725312821624	0.167921564378961	1.19711824928227	8.66150262715996	3.5209360273008	0.265424408211906	5.09723200260008	1.88505498077027	0.628351660256757	20.5135149775202	FR_c10
126	1_Jul_13	13	FR	52	exp2	c10	male	17.2704488493962	28.673957621326	9.34153565732513	4.44292549555707	1.41262246525404	0.102529049897471	0.694919115971748	3.52016404647984	5.33151059466849	2.97334244702666	2.47208931419458	1.61768056504899	0.227842333105491	21.9184324447482	FR_c10
127	1_Jul_14	14	FR	52	exp2	c11	male	18.9457706637229	23.161308127501	14.2058782944667	4.98827100869325	1.2073961639299	7.57554850282876	1.4281771767628	1.52476886987719	4.87098109562578	0	3.66358493169587	2.50448461432317	0.0344970332551401	15.8893335173175	FR_c11
128	15OCT_01_pl1	1	FR	6	exp1	c1	male	13.6655713764147	26.2796641109894	6.50237312887915	4.47973713033954	1.33260313983206	0	1.7232566630157	13.8116100766703	0	0	8.02847754654984	2.04819277108434	2.19788243884629	19.9306316173786	FR_c1
129	15OCT_02_pl1	2	FR	6	exp1	c1	male	12.4816297572594	18.3550397810774	4.68757918208078	5.05751786347742	1.75847564992652	16.5965641311509	1.15542492271829	5.56428318045913	0.141894288754878	1.73820503724725	5.53894491461004	1.16049257588811	1.23143972026555	24.5325089950844	FR_c1
130	15OCT_03_pl1	3	FR	6	exp1	c2	female	13.6296750459841	22.1949724095647	5.48743102391171	4.56161863887186	1.61250766400981	17.6456161863887	0.858369098712446	10.2759043531576	0	0	5.50582464745555	1.96811771919068	1.58185162477008	14.6781115879828	FR_c2
131	15OCT_04_pl1	4	FR	6	exp1	c2	female	16.7863085333967	26.089850249584	3.79843118611837	5.79985738055622	2.12027573092465	6.60328024720704	0.912764440218683	12.1226527216544	0.00950796291894462	0	6.64606608034229	1.3739006417875	2.09175184216782	15.6453529831234	FR_c2
132	15OCT_05_pl1	5	FR	6	exp1	c3	male	18.4764346980281	21.4475196745955	3.01087629321779	4.24882836678751	1.37943231054912	16.2348571933858	1.09205057918472	9.58528605535414	3.61216730038023	0	2.57759306746839	1.436908656822	0.848881421876382	16.0491643823503	FR_c3
133	15OCT_06_pl1	6	FR	6	exp1	c3	male	12.8647021700083	24.0982571969513	3.82542841885528	5.77212486043012	1.98067867372203	13.5783290450993	1.33987086751784	5.91290839361134	0.475751250060683	2.39332006408078	9.92766639157241	1.99038788290694	0.762172921015583	15.0784018641682	FR_c3
